"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"David","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-13T10:02:37.822+01:00"
"an","text","","","-1","2016-12-13T10:02:37.822+01:00"
"American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"motion","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"picture","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"screenwriter","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-13T10:02:37.822+01:00"
"director","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
",","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-13T10:02:37.822+01:00"
"part","text","","","-1","2016-12-13T10:02:37.822+01:00"
"of","text","","","-1","2016-12-13T10:02:37.822+01:00"
"a","text","","","-1","2016-12-13T10:02:37.822+01:00"
"long","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"standing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"writing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"directing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"team","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"with","text","","","-1","2016-12-13T10:02:37.822+01:00"
"filmmaker","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Scott","PERSON","Scott McGehee ","Contributor7","0","2008-10-22T20:08:47.000Z"
"McGehee","PERSON","Scott McGehee ","Contributor7","0","2008-10-22T20:08:47.000Z"
".","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"His","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"films","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"include","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Suture","link","Suture ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"1994","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
",","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"The","link","The Deep End ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"Deep","link","The Deep End ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"End","link","The Deep End ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2001","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
",","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Bee","link","Bee Season ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"Season","link","Bee Season ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2005","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-13T10:02:37.822+01:00"
"Uncertainty","link","Uncertainty ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2008","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
".","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"1","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
".","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"External","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"links","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel","PERSON","Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
",","category","American film directors","Contributor7","0","2008-10-22T20:08:47.000Z"
"David","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
",","category","American screenwriters","Contributor7","0","2008-10-22T20:08:47.000Z"
"David","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
",","category","Living people","Contributor7","0","2008-10-22T20:08:47.000Z"
"David","PERSON","David Jewish ","Contributor7","0","2008-10-22T20:08:47.000Z"
"Jewish","PERSON","David Jewish ","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","category","Jewish - Americans","Contributor7","0","2008-10-22T20:08:47.000Z"
"Americans","category","Jewish - Americans","Contributor7","0","2008-10-22T20:08:47.000Z"
